u,r,c,h,f
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Areas protegidas""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Varias aplicaciones""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Trabajo con materiales""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Negocios""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Historia y funcionamiento de los numeros""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Construccion""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Historia""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Machine Learning""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Investigacion""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Naturaleza""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Analisis de datos""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Habilidad numerica""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Arte""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Medio ambiente""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Estudio del caracter""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Grandes inventos""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Desarrollo social""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Diseño de interiores""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Liderazgo""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Aporte a la comunidad""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Campo laboral amplio""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Enseñar""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Estudio de la personalidad""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Ayudar a los demas""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Logica""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Enfoque holistico""})"
"(:User {password: ""123456"",username: ""Usuario de prueba""})","[:RATES {Predicted: 3,Rating: 0}]","(:Career {universities: ""Universidad del Valle de Guatemala, Universidad Galileo, Universidad Internaciones"",name: ""Ingenieria Mecatronica"",description: ""La ingeniería mecatrónica, o simplemente mecatrónica, es una rama multidisciplinaria de la ingeniería, la cual desarrolla dispositivos y tecnologías de varios campos del conocimiento en los que se unen las ramas de sistemas, electrónica, mecánica y control, con el uso combinado de la robótica y de la ingeniería electrónica y ciencia de la Computación/Sistemas. La mecatrónica engloba así el desarrollo de productos que involucren un sistema de control para productos o procesos inteligentes, lo cual busca crear maquinaria más compleja para facilitar las actividades del ser humano a través de procesos electrónicos de sistemas de control aplicados en la industria. Esta disciplina une la Ingeniería de sistemas/ciencia de la computación, ingeniería electrónica, ingeniería mecánica e ingeniería de control."",years: 5})",[:HAS_TAG {Strong: 0}],"(:Feature {name: ""Ingenieria""})"
